,Unnamed: 0.1,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,state_enc
0,630423,630423,2019-09-25 03:25:20,378904938837132,fraud_Huel Ltd,misc_net,5.31,Tina,Zimmerman,F,3595 Susan Island Suite 063,Thomas,OK,73669,35.7382,-98.7388,1675,Barrister,1986-05-01,22befb0b7fa5f647ee6282831f06ca4e,1348543520,35.660837,-99.464527,0,36
1,195482,195482,2019-04-10 23:47:29,3519607465576254,fraud_Stoltenberg-Beatty,shopping_pos,873.75,Audrey,Gonzalez,F,34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",1929-05-06,7949a4e2461f7ad6c3db4ab64edbbf6a,1334101649,41.58343,-124.129603,1,4
2,570173,570173,2019-08-30 20:37:27,3554818239968984,"fraud_Labadie, Treutel and Bode",shopping_net,901.99,Cory,Thomas,M,6458 Roberson Alley,Williamsburg,MO,63388,38.8874,-91.7689,710,Glass blower/designer,1970-09-27,d368a41de01a1b2f44eca81fc8d04265,1346359047,38.174577,-92.701799,1,24
3,270769,270769,2019-05-13 19:50:52,4181833256558613886,fraud_Graham and Sons,health_fitness,166.27,Jessica,Potter,F,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,0dd80dc22a38174a6ef5f12ed43e196d,1336938652,35.693189,-105.823374,0,32
4,929832,929832,2020-01-04 13:11:33,374656033243756,fraud_Gleason-Macejkovic,shopping_net,1051.0,David,Lewis,M,1499 Michael Rue,Arlington,VA,22213,38.8954,-77.1633,207410,Mudlogger,1984-07-03,cdd4b19b924fcfd11778d7a45fd25d04,1357305093,38.976324,-76.588505,1,45
5,686124,686124,2019-10-20 00:44:54,4025612008285111,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,306.89,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,15829,41.1762,-79.1976,1274,Maintenance engineer,1949-03-20,b7fb280a7172a446e9d21144d61e2d37,1350693894,40.767628,-78.998155,1,38
6,325857,325857,2019-06-04 13:20:32,4169759661243568,fraud_Kovacek Ltd,travel,10.13,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,1972-02-15,e08d9ab3758b12f0dd71fda928c27d69,1338816032,39.82733,-76.657102,1,38
7,209417,209417,2019-04-16 22:07:05,6550399784335736,fraud_Donnelly PLC,misc_net,683.14,Harry,Mckee,M,95351 Sullivan Viaduct Apt. 239,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,1984-08-31,9ab6d85528535cd0ff12d484fb423837,1334614025,26.401419,-82.324681,1,9
8,240304,240304,2019-04-30 08:23:31,4243521033756702612,fraud_Pfeffer LLC,grocery_net,8.94,Jose,Jones,M,492 West Crossing,Clarion,PA,16214,41.2123,-79.3773,10127,Broadcast journalist,1956-03-20,94187743e1933671d183d451c0673b16,1335774211,40.799605,-79.114841,1,38
9,217638,217638,2019-04-20 23:48:15,4740713119940984,fraud_Romaguera Ltd,health_fitness,30.6,Heather,Hines,F,13776 Hicks Plains,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16,0efba7cae5fc0cbaf65ed88868b9fddb,1334965695,42.119898,-73.990936,0,34
